nodeName	Expression
VCAN	3.79861580261882
IL1B	0.878301424538958
LYZ	1.61775708945205
FCN1	2.25629177228355
IL8	1.4951847678143
LOC100423631	4.08306563361432
MNDA	1.48481142267345
LOC100133583	0.31690891322269
CD163	3.28047439342377
LOC723547	0.173183259572057
MAFB	1.07143142409456
RTD1A	0.380054891601712
PLBD1	1.89393919862643
FCGR2B	0.71575021985172
GNB4	1.79988270702363
IDO1	1.75228341186371
KLF4	1.01238998722113
CPVL	1.45045669497378
C5AR1	1.66478181234643
AIF1	1.59153034743437
CYBB	1.26788640543707
HLA-DRA	0.25686806439373
CFD	0.737407097313311
KCTD12	2.71304812913031
TGFBI	1.04194508808241
MPEG1	0.810482147272275
DUSP6	1.48114747097524
PILRA	1.64028490704303
QPCT	1.34086723053096
SIGLEC11	1.66827847886913
CSTA	1.62464651237993
HCK	1.9010823855583
FN1	0.870942902212
MARCKS	1.28668628483265
CXCL3	1.22069359561349
FCER1G	1.95273052798867
LILRB1	1.58645464871663
MS4A6A	1.57549402794066
HLA-DRB1	0.379018204066268
C1orf162	1.81443026924963
ALDH1A1	1.18195075961015
G0S2	0.784858208875897
CLEC7A	1.19204191573168
RBM47	1.51979133919983
PTX3	1.54701188014787
CTBP2	1.46884382939136
KYNU	1.46127374455972
CEBPA	1.15987416208847
IER3	1.82954460232031
CDKN1C	1.30387570174215
CD93	0.776292384771318
HLA-DMB	0.751804765243898
DEFA1	0.801147346551639
VMO1	0.967596660768372
TNFRSF21	1.11596465446895
CST3	1.05916426481578
NLRP3	1.89888406735739
DAPK1	1.10982440555858
MS4A7	0.837087957288678
PTGS2	1.04027772452678
LILRB2	1.36726787787848
RNASE3	1.36344202864931
HLA-DMA	0.837374835686622
EPS8	1.03004183403766
FCER1A	1.95556793468894
LOC100294275	0.539994817115748
LMO2	1.20894694352712
SLC7A7	1.47573442179269
PRCP	0.871260208194124
SERPINB10	1.50196649642555
CCR1	1.12631226646491
C3AR1	1.39944564802611
IGSF6	1.22986374919946
LILRA2	1.14564091613783
JDP2	2.03797080813578
CD14	1.40802382704576
LTF	0.921281075001716
EAF2	1.36453866899436
CD74	0.802658106740499
NACC2	0.97281964956941
QKI	0.882169429726725
40237	1.63763370279133
FLJ44896	1.09535834159441
THBD	1.19469063800815
TBC1D9	1.93618270567048
CRISP3	0.596176436458648
NEURL1B	1.64091342380737
TFEC	1.69942513035104
FAM198B	1.55383379132566
TNFSF13	0.9861129242087
TLR4	1.04961407094334
CXCL2	1.27750536840876
C6orf89	0.737187209974342
PTAFR	1.52425836521232
CSF2RA	1.24773352628136
HHEX	1.40348545337589
ARRDC4	1.20123220873405
LPCAT2	1.48287784822447
CCL20	1.2729501235929
CSF1R	1.07326915219345
TLR8	1.45012636060514
ANKRD33B	0.866223055301645
CDKN1A	0.956625088065526
TLR2	1.28236409262238
PLA2G7	1.33390638741806
KMO	1.36200619609112
CXCL1	1.15618318434932
LOC100294276	0.616493593052367
